
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:63181        Puget-89256:63180      ESTABLISHED
  TCP    127.0.0.1:63182        Puget-89256:63183      ESTABLISHED
  TCP    127.0.0.1:63183        Puget-89256:63182      ESTABLISHED
  TCP    127.0.0.1:63184        Puget-89256:63185      ESTABLISHED
  TCP    127.0.0.1:63185        Puget-89256:63184      ESTABLISHED
  TCP    127.0.0.1:63186        Puget-89256:63132      ESTABLISHED
  TCP    127.0.0.1:63187        Puget-89256:63188      ESTABLISHED
  TCP    127.0.0.1:63188        Puget-89256:63187      ESTABLISHED
  TCP    127.0.0.1:63189        Puget-89256:63136      ESTABLISHED
  TCP    127.0.0.1:63190        Puget-89256:63191      ESTABLISHED
  TCP    127.0.0.1:63191        Puget-89256:63190      ESTABLISHED
  TCP    127.0.0.1:63192        Puget-89256:63133      ESTABLISHED
  TCP    127.0.0.1:63193        Puget-89256:63194      ESTABLISHED
  TCP    127.0.0.1:63194        Puget-89256:63193      ESTABLISHED
  TCP    127.0.0.1:63195        Puget-89256:63134      ESTABLISHED
  TCP    127.0.0.1:63316        Puget-89256:63317      ESTABLISHED
  TCP    127.0.0.1:63317        Puget-89256:63316      ESTABLISHED
  TCP    127.0.0.1:63318        Puget-89256:63319      ESTABLISHED
  TCP    127.0.0.1:63319        Puget-89256:63318      ESTABLISHED
  TCP    127.0.0.1:63320        Puget-89256:63321      ESTABLISHED
  TCP    127.0.0.1:63321        Puget-89256:63320      ESTABLISHED
  TCP    127.0.0.1:63322        Puget-89256:63323      ESTABLISHED
  TCP    127.0.0.1:63323        Puget-89256:63322      ESTABLISHED
  TCP    127.0.0.1:63324        Puget-89256:63325      ESTABLISHED
  TCP    127.0.0.1:63325        Puget-89256:63324      ESTABLISHED
  TCP    127.0.0.1:63326        Puget-89256:63327      ESTABLISHED
  TCP    127.0.0.1:63327        Puget-89256:63326      ESTABLISHED
  TCP    127.0.0.1:63342        Puget-89256:0          LISTENING
  TCP    192.168.1.68:139       Puget-89256:0          LISTENING
  TCP    192.168.1.68:49828     17.151.2.101:https     CLOSE_WAIT
  TCP    192.168.1.68:49874     17.151.2.101:https     CLOSE_WAIT
  TCP    192.168.1.68:53426     162.125.35.134:https   ESTABLISHED
  TCP    192.168.1.68:53570     151.101.193.69:https   ESTABLISHED
  TCP    192.168.1.68:53571     151.101.193.69:https   ESTABLISHED
  TCP    192.168.1.68:53574     151.101.188.193:https  ESTABLISHED
  TCP    192.168.1.68:53587     cdn-185-199-111-153:https  ESTABLISHED
  TCP    192.168.1.68:53588     151.101.188.233:https  ESTABLISHED
  TCP    192.168.1.68:53593     151.101.188.233:https  ESTABLISHED
  TCP    192.168.1.68:53611     ec2-34-225-70-191:https  ESTABLISHED
  TCP    192.168.1.68:53640     151.101.189.140:https  ESTABLISHED
  TCP    192.168.1.68:53644     104.244.42.3:https     ESTABLISHED
  TCP    192.168.1.68:53648     151.101.1.140:https    ESTABLISHED
  TCP    192.168.1.68:53649     104.244.42.69:https    ESTABLISHED
  TCP    192.168.1.68:53660     52.98.18.18:https      ESTABLISHED
  TCP    192.168.1.68:53679     homeportal:http        ESTABLISHED
  TCP    192.168.1.68:53767     162.125.35.136:https   ESTABLISHED
  TCP    192.168.1.68:53921     server-13-35-121-6:https  ESTABLISHED
  TCP    192.168.1.68:53924     server-13-227-73-54:https  ESTABLISHED
  TCP    192.168.1.68:53925     85:https               ESTABLISHED
  TCP    192.168.1.68:53926     dfw25s26-in-f6:https   ESTABLISHED
  TCP    192.168.1.68:53928     65.8.168.84:https      ESTABLISHED
  TCP    192.168.1.68:53929     206.17.25.188:https    ESTABLISHED
  TCP    192.168.1.68:53930     server-99-84-233-95:https  ESTABLISHED
  TCP    192.168.1.68:53931     33:https               ESTABLISHED
  TCP    192.168.1.68:53935     dfw28s05-in-f6:https   ESTABLISHED
  TCP    192.168.1.68:53937     ec2-52-89-121-50:https  ESTABLISHED
  TCP    192.168.1.68:53938     98:https               ESTABLISHED
  TCP    192.168.1.68:53972     65.8.17.172:https      ESTABLISHED
  TCP    192.168.1.68:54007     SonosZP:1400           TIME_WAIT
  TCP    192.168.1.68:54049     SonosZP:1400           TIME_WAIT
  TCP    192.168.1.68:54061     52.109.20.16:https     TIME_WAIT
  TCP    192.168.1.68:55409     52.242.211.89:https    ESTABLISHED
  TCP    192.168.1.68:55448     ec2-54-208-208-3:https  ESTABLISHED
  TCP    192.168.1.68:55450     52.230.222.68:https    ESTABLISHED
  TCP    192.168.1.68:57933     17.57.144.22:5223      ESTABLISHED
  TCP    [::]:135               Puget-89256:0          LISTENING
  TCP    [::]:445               Puget-89256:0          LISTENING
  TCP    [::]:1801              Puget-89256:0          LISTENING
  TCP    [::]:2103              Puget-89256:0          LISTENING
  TCP    [::]:2105              Puget-89256:0          LISTENING
  TCP    [::]:2107              Puget-89256:0          LISTENING
  TCP    [::]:3445              Puget-89256:0          LISTENING
  TCP    [::]:7680              Puget-89256:0          LISTENING
  TCP    [::]:17500             Puget-89256:0          LISTENING
  TCP    [::]:49664             Puget-89256:0          LISTENING
  TCP    [::]:49665             Puget-89256:0          LISTENING
  TCP    [::]:49666             Puget-89256:0          LISTENING
  TCP    [::]:49667             Puget-89256:0          LISTENING
  TCP    [::]:49668             Puget-89256:0          LISTENING
  TCP    [::]:49682             Puget-89256:0          LISTENING
  TCP    [::]:49736             Puget-89256:0          LISTENING
  TCP    [::]:52399             Puget-89256:0          LISTENING
  TCP    [::]:53680             Puget-89256:0          LISTENING
  TCP    [::1]:8888             Puget-89256:0          LISTENING
  TCP    [::1]:8889             Puget-89256:0          LISTENING
  TCP    [::1]:8889             Puget-89256:61144      ESTABLISHED
  TCP    [::1]:61144            Puget-89256:8889       ESTABLISHED
  TCP    [2600:1700:7260:7870:19e8:dfde:6822:f8cc]:49829  [2620:149:a43:209::9]:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:19e8:dfde:6822:f8cc]:49875  [2620:149:a43:207::7]:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:19e8:dfde:6822:f8cc]:50218  g2600-1406-0040-05ab-0000-0000-0000-4106:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:19e8:dfde:6822:f8cc]:50219  g2600-1406-0040-05ab-0000-0000-0000-4106:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:19e8:dfde:6822:f8cc]:56883  [2620:149:a43:209::e]:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:9d91:c2e7:4863:f2a7]:51409  dfw25s16-in-x0d:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:49957  [2620:149:a43:209::e]:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:52794  dfw25s25-in-x0d:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:52966  [2a04:4e42:2d::323]:https  ESTABLISHED
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53298  [2607:f8b0:4023:1002::5f]:https  CLOSE_WAIT
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53585  [2a04:4e42:2d::621]:https  TIME_WAIT
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53590  [2a04:4e42:2d::720]:https  TIME_WAIT
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53641  [2603:1036:307:48e0::2]:https  ESTABLISHED
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53917  [2606:4700:10::6816:34fc]:https  ESTABLISHED
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53922  [2600:9000:21c4:4200:10:ee95:8e40:93a1]:https  ESTABLISHED
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53927  g2600-1406-4400-02a8-0000-0000-0000-11a6:https  ESTABLISHED
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53940  [2600:9000:20a6:ea00:19:fc2c:a140:93a1]:https  ESTABLISHED
  TCP    [2600:1700:7260:7870:e474:e645:6363:3429]:53987  dfw25s13-in-x03:https  ESTABLISHED
